timestamp,machine_id,ct_01,current_sensor_01,thermister_01,encoder_01,state
2026-01-01 00:00:00,TEAPM_001,0.18303427,-0.1089917,-0.77954954,-0.8521668,normal
2026-01-01 00:00:01,TEAPM_001,-0.62364566,0.64215076,-0.3368726,0.48026684,normal
2026-01-01 00:00:02,TEAPM_001,0.45042783,1.3370854,-0.44165856,0.3238513,normal
2026-01-01 00:00:03,TEAPM_001,0.5644761,0.10779246,-0.008224808,-0.73084706,normal
2026-01-01 00:00:04,TEAPM_001,-1.1701803,-0.0039436594,0.062816754,0.5983583,normal
2026-01-01 00:00:05,TEAPM_001,-0.780935,0.1535175,-0.64237714,-0.41905397,normal
2026-01-01 00:00:06,TEAPM_001,0.0769267,-0.3947565,0.66068923,0.23247448,normal
2026-01-01 00:00:07,TEAPM_001,-0.18947645,0.45899022,-0.095464356,0.37336284,normal
2026-01-01 00:00:08,TEAPM_001,-0.009843117,0.26470736,0.9016473,-0.14684594,normal
2026-01-01 00:00:09,TEAPM_001,-0.5115011,-0.25228447,0.1449037,0.54600126,normal
2026-01-01 00:00:10,TEAPM_001,0.5277826,0.54124403,0.04172643,-0.08638746,normal
2026-01-01 00:00:11,TEAPM_001,0.4668294,0.011393763,-0.29429153,0.20332396,normal
2026-01-01 00:00:12,TEAPM_001,0.03984724,-0.5820389,0.36913705,-0.16439907,normal
2026-01-01 00:00:13,TEAPM_001,0.6764623,0.2109638,0.020406077,-1.1208748,normal
2026-01-01 00:00:14,TEAPM_001,0.28069264,0.14219621,0.5152991,-0.07404291,normal
2026-01-01 00:00:15,TEAPM_001,-0.51524925,0.5762548,0.9629755,-0.52413005,normal
2026-01-01 00:00:16,TEAPM_001,0.2214476,0.49893147,-0.43580315,0.83545595,normal
2026-01-01 00:00:17,TEAPM_001,-0.5749932,-0.06553662,0.36831155,-0.8184414,normal
2026-01-01 00:00:18,TEAPM_001,0.52721405,-0.2832546,0.35130468,0.7351039,normal
2026-01-01 00:00:19,TEAPM_001,-0.029714422,0.0010458935,0.27510923,-0.10718607,normal
2026-01-01 00:00:20,TEAPM_001,-0.11066232,0.21798675,-0.25962746,0.2438047,normal
2026-01-01 00:00:21,TEAPM_001,-0.40825048,0.2902544,-0.24748896,-0.8278858,normal
2026-01-01 00:00:22,TEAPM_001,0.73363227,0.1808483,-0.35002863,-0.18519858,normal
2026-01-01 00:00:23,TEAPM_001,-0.09246544,-0.054457933,-0.36192846,-0.39870015,normal
2026-01-01 00:00:24,TEAPM_001,-0.25671592,0.59809434,-0.50375974,1.2620478,normal
2026-01-01 00:00:25,TEAPM_001,-0.21100716,-0.40458462,-0.062424734,-0.41353574,normal
2026-01-01 00:00:26,TEAPM_001,0.3195657,1.4541063,-0.45438066,0.69211763,normal
2026-01-01 00:00:27,TEAPM_001,0.2194639,0.45784533,0.26162967,0.7005107,normal
2026-01-01 00:00:28,TEAPM_001,0.24783236,-0.6764968,0.034437064,0.68365544,normal
2026-01-01 00:00:29,TEAPM_001,0.25868338,0.11113818,0.10173189,-0.35625267,normal
2026-01-01 00:00:30,TEAPM_001,1.2850002,0.46361333,-0.16381039,1.0830363,normal
2026-01-01 00:00:31,TEAPM_001,-0.24357066,-0.20962329,0.041602883,1.2074099,normal
